ID в ИС ГТИБД,Название,Название (англ.),Адрес,Телефоны,Сайт,Электронная почта,Кухня,Доступно для людей с ограниченными возможностями,Геопозиция
6152,Антикафе-клуб «Мансарда»,Timecafe Mansarda,"Санкт-Петербург, Марата ул., д. 36-38",987-55-12,http://clubmansarda.ru,http://vk.com/clubmansarda,,нет,"59.925701,30.352573"
6153,Пышечная,Pyshechnaya,"м. Невский проспект, ул. Большая Конюшенная, 25.",+7 (812) 314-08-68,https://vk.com/club74224,,,нет,"59.93726,30.322165"
6156,Пышечная,Pyshechnaya,"м. Сенная/Садовая/Спасская, ул. Садовая, 32",+7 (812) 310-52-39,,,,нет,"59.699272,30.452394"
6157,Playloft GaGa,Playloft GaGa,"Малая Морская, 15/7 (Вход с Гороховой 7)",7(812) 924-83-61,http://playloftgaga.ru/ http://vk.com/playloftgaga,playloft@gaga.ru,,нет,"59.935313,30.311305"
6158,"Пышечная ""Шарк""","Pyshechnaya ""Shark""","м. Чёрная речка, ул. Савушкина, 1/2",+7 (812) 496-11-90,,,,нет,"59.987033,30.300857"
6462,Абердин,Aberdeen,"м. Чернышевская, 191028, Санкт-Петербург, Литейный пр., 10",+7 (812) 400-22-17,www.abeerdeen.ru,nosms@abeerdeen.ru,,нет,"59.945909,30.349708"
6463,Бир Хаус,BEER HOUSE,"м. Площадь Восстания, ул. Некрасова, 25
м. Гостиный Двор, Невский пр., 62
м. Маяковская, ул. Марата, 2
м. Академическая, Гражданский пр., 36
м. Пионерская, Коломяжский пр., 15/2
м. Пр. Просвящения, пр. Энгельса, 139
м. Пр. Ветеранов, бул. Новаторов, 11
м. Парк Победы, Варшавская ул., 23/3
м. Комендантский пр., Комендантский пр., 30/1
м. Технологический институт, ул. Бронницкая, 4
м. Чернышевская, ул. Чайковского, 38
м. Старая деревня, ул. Савушкина, 143
м. Садовая/Сенная, Московский пр., 8
м. Звездная, ул. Ленсовета, 90
м. Пр. Большевиков, пр.Пятилеток, 2
м. Московская, Московский пр., 216",+7(812) 244-74-54,www.beerhousebar.ru,nj@streetbar.ru,,нет,"59.938193,30.359167"
6465,Бир Кониг,BIER KONIG,"м. Площадь Александра Невского, 191024, Санкт-Петербург, Невский пр., 170",+7 (812) 717-17-06,www.bier-konig.ru,7171706@mail.ru,,нет,"59.926273,30.378409"
6466,Бир Кониг,BIER KONIG,"м. Садовая/Сенная, 191023, Санкт-Петербург, Гороховая ул., 40",+7 (812) 310-95-85,www.bier-konig.ru,7171706@mail.ru,,нет,"59.927369,30.323935"
6469,Джагер Хаус,JAGER HAUS,"м. Новочеркасская, Свердловская наб., д. 60;
м. Маяковская, Невский пр., д. 84-86
м. Маяковская, ул. Марата, д. 4
м. Чкаловская; Малый пр. П.С., д. 40
м. Садовая, ул. Гороховая, д. 34
м. Василеостровская, Средний пр. В.О., д. 64",+7 (812) 611-11-10,www.jagerhaus.ru,,,нет,"59.921241,30.338533"
6473,Джеймс Кук,JAMES COOK,"м. Невский пр., 191186, Санкт-Петербург, Шведский пер., 2",+7(964)344-11-99,https://vk.com/jamescookpub,,,нет,"59.938892,30.325534"
6474,Брассерия Kriek,Brasserie KRIEK,"м. Гостиный двор, 191023, Санкт-Петербург, Невский пр., д. 64","+7 (812) 611-11-10, 
+7(812) 418-24-25, 
+7(812) 611-11-10,
+7(812) 418-24-25",www.kriek.ru,kriek@kriek.ru,,нет,"59.937337,30.324501"
6479,Оливер Твист,Oliver Twist,"м. Гостиный двор, 191014, Санкт-Петербург, ул. Белинского, 3",+7 (812) 272-33-61,www.dickensrest.ru,,,нет,"59.937977,30.345243"
6480,Пиквик Паб,Pickwick Pub,"м. Чернышевская, 191123, Санкт-Петербург, ул. Рылеева, 6",+7 (812) 275-61-41,www.dickensrest.ru,dickens.pub@mail.ru,,нет,"59.942516,30.356391"
6481,Рингобеллс,Ring O'Bells,"м. Достоевская, 191025, Санкт-Петербург, Колокольная ул., 4",+7 (812) 764-22-89,http://www.ringo-bells.ru,ringobells@mail.ru,,нет,"59.928884,30.349276"
6483,SПБ - Самый Правильный Бар,SPB - Bar,"м. Гостиный Двор, 191123, Санкт-Петербург, Садовая ул., 14/52",+7 (812) 655-67-10,www.barspb.ru,office@barspb.ru,,нет,"59.934682,30.335685"
6486,Тара Бруч,TARA BROOСH,"м. Пл. Восстания, 191024, Санкт-Петербург, 2-я Советская ул.,18
м. Чёрная речка,197342, Санкт-Петербург, Торжковская ул., 6",+7 (812) 336-66-66,www.vk.com/thepub,tarabrooch@mail.ru,,нет,"59.930588,30.372489"
6488,Темплет Бар,The Templet Bar,"м. Пл. Восстания, 191014, Санкт-Петербург, ул. Некрасова, 37",+7 (812) 579-18-55,http://templetbar.ru/templet-centr/,mail@templetbar.ru,,нет,"59.938432,30.362976"
6489,Тауэр Паб,Tower Pub,"м. Невский пр., 191186, Санкт-Петербург, Невский пр., д. 22-24",+7 (812) 315-14-31,www.pub-tower.ru,admin@pub-tower.ru,,нет,"59.937337,30.324501"
6494,ВАРШТАЙНЕР ФОРУМ,Warsteiner FORUM,"м. Пл. Восстания, 191036, Санкт-Петербург, Невский пр., 120",+7 (812) 717-54-06,www.wf120.ru,wf120@inbox.ru,,нет,"59.9308,30.363649"
6496,ДИКИЙ ОСКАР,Wild Oskar,"м. Чернышевская, 191014, Санкт-Петербург, Кирочная ул., 11","+7 (812) 275-38-88, +7 (903) 095-69-68",www.wildoscar.gidm.ru,wildoscarpub@mail.ru,,нет,"59.943674,30.35455"
6498,ЗОЛОТАЯ ПИНТА,GOLDEN PINTA,"м. Чернышевская, 191028, Санкт-Петербург, Фурштатская ул., 9","+7 (812) 719-60-15, +7 (911) 123-61-85",www.goldenpint.ru,goldenpint.spb@mail.ru,,нет,"59.944954,30.352924"
6499,КАФЕ ТРАППИСТ,CAFE Trappist,"м. Чернышевская, 191014, Санкт-Петербург, ул. Радищева, д. 36",+7 (812) 275-99-35,cafetrappist.ru,burovkokkov@beercard.ru,,нет,"59.941371,30.363317"
6501,КОНТАКТ БАР,CONTACT BAR,"м. Владимирская, 191002, Санкт-Петербург, Владимирский пр., 17",+7  (812) 951-83-95,kontaktbar.ru,,,нет,"59.928812,30.345908"
6507,МАККЛЕЙН,McClain,"м. Владимирская, 191040, Санкт-Петербург, Кузнечный пер., 22",+7 (911) 247-81-07,http://vk.com/mc_clane,,,нет,"59.92672,30.357298"
6508,МАРИУС ПАБ,Marius Pub,"м. Маяковская, 191025, Санкт-Петербург, ул. Марата, 11",+7 (812) 315-48-80,www.mariuspub.ru,marius_pub@swisscenter.ru,,нет,"59.929479,30.353984"
6509,O'HOOLIGANS,O'HOOLIGANS,"м. Невский пр., 191186, Санкт-Петербург, ул. Большая Конюшенная, д. 14",+7 (812) 964-80-40,www.ohooligans.ru,admin@ohooligans.ru,,нет,"59.937337,30.324501"
6510,O'HООLIGANS,O'HООLIGANS,"м. Пл. Восстания, 191024, Санкт-Петербург, ул. Бакунина, д. 5",+7 (812) 964-34-84,ohooligans.ru,admin@ohooligans.ru,,нет,"59.92965,30.375085"
6513,Пиворама,Pivorama,"м. Пл. Александра Невского,  191317, Санкт-Петербург, пл. Александра Невского, 2, гостиница ""Москва""",+7 (812) 945-10-52,www.pivorama.ru,,,нет,"59.924393,30.386619"
6515,Подстреленная гусыня,Podstrelennaya gusynya,"м. Пл. Восстания, 191036, Санкт-Петербург, ул. Восстания, 17",+7 (812) 719-71-19,www.pivnicespb.ru,gsmobi@gmail.com,,нет,"59.934934,30.360946"
6516,Подстреленная гусыня,Podstrelennaya gusynya,"м. Владимирская, 191002, Санкт-Петербург, Владимирский пр., д. 13/9, вход с Графского пер.",+7 (812) 712-47-10,www.pivnicespb.ru,gsmobi@gmail.com,,нет,"59.929935,30.347309"
6520,Телеграф Паб,Telegraph Pub,"м. Достоевская, 191025, Санкт-Петербург, ул. Рубинштейна, 3","+7 (812) 327-74-79	
+7 (812) 327-74-75",http://www.pub-telegraph.ru,telegraph-pub@yandex.ru,,нет,"59.931986,30.34545"
6525,ВИЛЬЯМ БАСС,William Bass,"м. Пл.Восстания, 191040, Санкт-Петербург, Лиговский пр., 53",+7 (812) 717-93-39,www.williambass.ru,basspub53@mail.ru,,нет,"59.929055,30.359436"
6526,Фогги Дью,Foggy Dew,"м. Пл. Восстания, 191014, Санкт-Петербург, ул. Восстания, д. 39",+7 (812) 273-62-63,http://foggydew.pub/,,,нет,"59.939708,30.360874"
6528,Хэратс паб,Harat's Pub,"м. Пл. Восстания, 191036, Санкт-Петербург, Невский пр., 109",+7 (812) 717-12-09,www.harats.ru,dir.harats@yandex.ru,,нет,"59.928672,30.369803"
6530,ШЕРЛОК,Sherlok,"м. Чернышевская, 191123, Санкт-Петербург, ул.Захарьевская, 13",+7 (812) 955-01-10,http://pubsherlock.ru/,pubsherlock.spb@gmail.com,,нет,"59.946572,30.358852"
6531,ШИЛЛИНГ,Shilling,"м. Сенная пл., 190031, Санкт-Петербург, ул. Ефимова, 3","+7 (812) 313-99-70, 
+7 (921) 324-24-29",https://vk.com/club13399431,,,нет,"59.931107,30.355861"
6532,12 КОМНАТ,,"191186, Санкт-Петербург, Большая Морская ул., 19",+7 (812) 923-70-96,www.12komnat.com,twelveroomsspb@gmail.com,,нет,"59.934686,30.314718"
6533,Душевная кухня,,"Санкт-Петербург, Шведский пер.,2",+7 (911) 009-55-48,www.17-19.ru,gorodskoekafe@gmail.com,,нет,"59.943638,30.34827"
6535,ART CROSS,,"191024, Санкт-Петербург, Перекупной пер., 12/13","+7 (981) 880-28-13
 +7 (812) 577-41-89",https://vk.com/artcross,,,нет,"59.92906,30.378049"
6548,LE MENU,,"197198, Санкт-Петербург, Кронверкский пр., 79/1",+7 812 933–52–29,http://le-menu.ru,,,нет,"59.923978,30.33776"
6552,PHILIBERT,,"191119, Санкт-Петербург, Коломенская ул., 29, гостиница ""Peter Ville""",+7 (812) 607-41-39,www.philibert.ru,info@philibert.ru,,нет,"59.922887,30.352726"
6553,RIMINI,,"191123, Санкт-Петербург, Фурштатская ул., 46",+7 (812) 272-86-18,www.rimini-cafe.ru,cafe-rimini@mail.ru,,нет,"59.945224,30.36276"
6556,"SUNNY GEORGIA,",,"197082, Санкт-Петербург, ул.Туристская, д. 22",+7 (812) 24-391-24,www.sunnygeorgia.com,,,нет,"59.938622,30.36462"
6560,ZOOM CAFE,,"191186, Санкт-Петербург, Гороховая ул., 22",+7 (812) 612-13-29,www.cafezoom.ru,info@cafezoom.ru,,нет,"59.931075,30.318365"
6561,АБАЖУР,,"199178, Санкт-Петербург, 9-я линия В.О., д. 30",+7 (812) 409-0039,www.abajourcafe.ru,abagur-cafe@mail.ru,,нет,"59.927414,30.351585"
6563,АЗИЯ,,"191123, Санкт-Петербург, ул. Рылеева, 23",+7 (812) 272-01-68,,,,нет,"59.942052,30.358143"
6569,Антикафе «НЕвзрослые»,Timecafe Nevzroslye,"18 линия Васильевского острова, д.45 во дворе, вход под второй аркой","+7 (812) 622-09-67
 +7-911-929-52-88
+7-911-944-14-07",http://nevzroslye.ru/ http://vk.com/nevzroslye,frish@list.ru,,нет,"59.940817,30.262257"
6582,АТРИУМ,,"191186, Санкт-Петербург, наб. реки Мойки, 59",+7 (812) 324-99-44; +7 (812) 324-99-11,www.taleonimperialhotel.com/ru/restaurant/st-petersburg-hotel-atrium-cafe/#/tab-1,club@taleon.ru,,нет,"59.935403,30.318446"
6586,БАРАБАН КАФЕ,,"191028, Санкт-Петербург, ул. Пестеля, 19","+7 (812) 272-98-46
 +7 (911) 922-24-94",www.barabancafe.ru,baraban777@bk.ru,,нет,"59.942471,30.345773"
6594,БРОДЯЧАЯ СОБАКА,,"191011, Санкт-Петербург, Итальянская ул., 4",+7 (812) 312-80-47,www.vsobaka.ru,straydog@mail.ru,,нет,"59.937071,30.328588"
6603,ВЕРСАЛЬ,,"191036, Санкт-Петербург, Суворовский пр., 18","+7 (812) 740-50-00, +7 (812) 740-38-51",www.grandhotelemerald.com,info@grandhotelemerald.com,,нет,"59.935516,30.371249"
6609,ГАМАРДЖОБА,,"191014, Санкт-Петербург, ул. Восстания, 16
190068, Санкт-Петербург, ул. Большая Подьяческая, 17
191002, Санкт-Петербург, ул. Правды, 1А
191119, Санкт-Петербург, ул. Константина Заслонова, 20","+7 (911) 142-76-02
+7 (812) 570-73-83
+7 (812) 579-29-49
+7 (812) 572-75-42",www.vk.com/spb_gamargoba,info@cafegamarjoba.ru,,нет,"59.93658,30.359751"
6615,ДАТО БАТОНО,,"191002, Санкт-Петербург, ул. Рубинштейна, 30-а",+7 (812) 572-25-46,www.vk.com/batonodato,,,нет,"59.928411,30.344354"
6618,ДОМ 7,,"191186, Санкт-Петербург, наб. канала Грибоедова, 7",+7 (812) 314-82-50,http://vk.com/dom_7,,,нет,"59.938973,30.327393"
6620,ДОМАШНЯЯ КУХНЯ,,"191036, Санкт-Петербург, пер. Ульяны Громовой, 3",+7 (812) 717-98-94,,,,нет,"59.933979,30.36152"
6623,El Bistro,,"191015, Санкт-Петербург, Шпалерная ул., 51
196240, Санкт-Петербург, Кубинская ул., 80
199034, Санкт-Петербург, 16-17-я линия Васильевского острова,4-6",+7 (812) 648-02-92,elbistro.ru,elbistro@mail.ru,,нет,"59.948361,30.384374"
6624,ЕМЕЛЯ,,"194358, Санкт-Петербург, пр. Энгельса, дом 154, этаж 3, фудкорт",,www.emelya-cafe.ru,info@emelya.ru,,нет,"60.059086,30.33502"
6629,ЗАВОДНЫЕ ЯЙЦА,,"191123, Санкт-Петербург, Фурштатская ул., 48",+7 (812) 275-88-96,zavodim.spb.ru,zavodim@mail.ru,,нет,"59.945229,30.363434"
6630,ЗАГАДКА,,"191036, Санкт-Петербург, Невский пр., 124",+7 (904) 640-81-27,www.vk.com/zagadkabar,,,нет,"59.930575,30.364943"
6631,ЗИНГЕР,,"191186, Санкт-Петербург, Невский пр., 28",+7 (812) 571-82-23,www.singercafe.ru,,,нет,"59.93562,30.325884"
6637,Rock Star cafe,,"191186, Санкт-Петербург, Большая Морская ул., 8",+7 (812) 309-88-83,http://rockstarcafe.ru/,rock@rockstarcafe.ru,,нет,"59.936819,30.318347"
6646,КИРОЧНЫЙ ДВОР,,"191123, Санкт-Петербург, Кирочная ул., 36",+7 (812) 273-17-54,http://www.kirochnydvor.ru/,kirochniy_dvor@mail.ru,,нет,"59.943945,30.364656"
6649,КЛУМБА,,"191024, Санкт-Петербург, Невский пр., 150",+7 (812) 717-19-49,http://www.klumba-cafe.ru/,https://vk.com/klumba_cafe,,нет,"59.928149,30.372974"
6652,КРАСНЫЙ ЛИС,,"191104, Санкт-Петербург, ул. Маяковского, 50",+7 (812) 275-42-14,rfjc.ru,rfoxrus@list.ru,,нет,"59.94266,30.355124"
6656,ЛАВАШ,,"191025, Санкт-Петербург, ул. Маяковского, 4",900-69-95,http://cafelavash.ru/,,,нет,"59.93273,30.35402"
6658,ЛАГИДЗЕ,,"191014, Санкт-Петербург, ул. Белинского, 3",+7 (812) 579-11-04,,,,нет,"59.937977,30.345243"
6661,ЛЕЙКА,,"191186, Санкт-Петербург, наб. канала Грибоедова, 29-а",+7 (812) 571-96-95,https://vk.com/cafebarleica,,,нет,"59.932198,30.32442"
6662,ЛЕОНАРДО,,"191002, Санкт-Петербург, ул. Рубинштейна, 11",+7 (812) 572-26-28,,,,нет,"59.929831,30.344228"
6663,ЛИГОВСКОЕ,,"191119, Санкт-Петербург, ул. Тюшина, 8",+7 (812) 740-21-03,,,,нет,"59.916609,30.34969"
6664,ЛОЗА,,"191024, Санкт-Петербург, Невский пр., 150, вход с Тележного пер.",+7 (812) 717-23-07,www.lozacafe.ru,arturloza@mail.ru,,нет,"59.928149,30.372974"
6673,ПИЦЦА 22 СМ,,"191014, Санкт-Петербург, ул. Жуковского, 45",+7 (812) 945-31-64,http://pizza22cm.ru/,ntizam.ru@mail.ru,,нет,"59.935191,30.358367"
6674,МЕЗОНИН,,"191023, Санкт-Петербург, Михайловская ул., 1/7, ""Гранд Отель Европа""",+7 (812) 329-60-00,www.grandhoteleurope.com,res.ghe@belmond.com,,нет,"59.935876,30.330376"
6677,МИТТЕ,,"191002, Санкт-Петербург, ул. Рубинштейна, 27",+7 (812) 416-1-416,http://mittespb.ru/,mitte.spb@gmail.com,,нет,"59.927234,30.341928"
6678,Мой хороший,,"191024, Санкт-Петербург, Перекупной пер., 4",+7 (812) 274-88-68,,,,нет,"59.927658,30.376199"
6685,НА АБОРДАЖ,,"191186, Санкт-Петербург, наб. реки Мойки, 40",+7 (812) 314-39-63,http://na-abordazh.ru/,,,нет,"59.936891,30.320773"
6690,"Пианобар ""Нико""",,"191040, Санкт-Петербург, Коломенская ул., 9",+7 (931) 279-00-50,https://vk.com/pianobarniko,npianobar@gmail.com,,нет,"59.925254,30.354325"
6694,ОБЕД,,"191186, Санкт-Петербург, Итальянская ул., 15, Центральный атриум, 5-й уровень",+7 (812) 449-94-56,http://grandp.ru/index.php?rst=2,secretary@grandp.ru,,нет,"59.934722,30.333071"
6698,ОМАР ХАЙАМ,,"191025, Санкт-Петербург, Колокольная ул., 9",+7 (812) 99-77-900,https://vk.com/kalyanclubomarhayam,,,нет,"59.928262,30.351486"
6699,ОМЛЕТ,,"191023, Санкт-Петербург, Апраксин пер., 6",8 (921) 560-78-78,http://cafeomlet.ru/,info@cafeomlet.ru,,нет,"59.928789,30.325588"
6700,ОТДЫХ,,"191119, Санкт-Петербург, ул. Марата, 65/20",+ 7 (812) 572-73-50,,,,нет,"59.921565,30.344875"
6701,ПАРМА СУШИ,,"197022, Санкт-Петербург, ул. Академика Павлова, 5",+7 (812) 922-82-81,http://xn--80aayonhjq9b.xn--p1ai/,,,нет,"59.934344,30.335927"
6703,ПЕКАРНЯ МИШЕЛЯ,,"191036, Санкт-Петербург, Лиговский пр., 30-а, ТРЦ ""Галерея""",+7 (812) 677-71-10,https://vk.com/michellebakery,pekarnyamichel@gmail.com,,нет,"59.927256,30.360712"
6705,ПЕЛЬМЕННАЯ,,"191036, Санкт-Петербург, Невский пр., 85, Московский вокзал",+7 (812) 335-83-29,,,,нет,"59.929781,30.362203"
6707,ПЕЧКА,,"191036, Санкт-Петербург, ул. Жуковского, 57",+7 (812) 273-10-10,,,,нет,"59.934984,30.361772"
6708,БИСТРО,,"191186, Санкт-Петербург, Невский пр., 3",+7 (812) 571-82-86,,,,нет,"59.93644,30.312481"
6710,ПИР О.Г.И,,"191123, Санкт-Петербург, ул. Восстания, 55",+7 (812) 275-35-58,https://vk.com/pirogipetersburg,fenichev@gmail.com,,нет,"59.943219,30.361161"
6711,ПИР О.Г.И,,"191025, Санкт-Петербург, наб. реки Фонтанки, 40",+7 (812) 275-35-58,https://vk.com/pirogipetersburg,fenichev@gmail.com,,нет,"59.933609,30.34465"
6712,ПИРОГОВЫЙ ДВОРИК,,"191011, Санкт-Петербург, наб. канала Грибоедова, 22",(812)7105707,http://pirogov-dvorik.ru/,info@pirogov-dvorik.ru,,нет,"59.933379,30.327402"
6713,Пирожковая,,"191036, Санкт-Петербург, ул. Восстания, 1",+7 (921) 778-00-01 +7 (921) 275-05-05,www.pirozhki.spb.ru,pirozhki@v1.spb.ru,,нет,"59.931909,30.360532"
6714,ПЛЮШКИН ДОМ,,"197110, Санкт-Петербург, ул. Большая Зеленина д. 11",+7(981) 876-45-65,www.plushkin-dom.ru,,,нет,"59.938888,30.323225"
6715,ПЛЮШКИН ДОМ,,"191002, Санкт-Петербург, Разъезжая ул., 20",+7(812) 764-88-83,www.plushkin-dom.ru,,,нет,"59.923942,30.34704"
6722,ПРОДУКТЫ,,"191011, Санкт-Петербург, наб. реки Фонтанки, 17",+7 (812) 312-57-54,www.facebook.com/fontanka17,www.vk.com/fontanka17,,нет,"59.935746,30.343177"
6723,ПРИНТКАФЕ,,"191187, Санкт-Петербург, ул.Гагаринская, д. 19",+7 (812) 644-41-64,www.printcafe.ru,info@printcafe.ru,,нет,"60.086479,29.962138"
6726,РЕГБИ ХАУС,,"191024, Санкт-Петербург, Полтавская ул., 10",+7 (812) 942-92-03	+7 (812) 717-95-49,www.rugbypub.ru,,,нет,"59.927441,30.370719"
6729,РЭД,,"191124, Санкт-Петербург, ул. Красного Текстильщика, 9/11",+7 (812) 710‒22‒27,,,,нет,"59.940064,30.392629"
6731,САИДА,,"191119, Санкт-Петербург, Боровая ул., 3, 1 этаж",+7 (812) 575-67-28,,,,нет,"59.922815,30.348387"
6732,САКВОЯЖ ДЛЯ БЕРЕМЕННОЙ ШПИОНКИ,,"191186, Санкт-Петербург, Большая Конюшенная ул., 17",+7 (812) 459-97-96,www.саквояжспб.рф,sakvojag@bk.ru,,нет,"59.938707,30.322327"
6734,САМПО,,"191024, Санкт-Петербург, Миргородская ул., 1",+7 (812) 275-05-35,,,,нет,"59.924916,30.370261"
6736,САХАРА,,"191036, Санкт-Петербург, ул. Восстания, 13",+7 (812) 717-53-85,,,,нет,"59.933717,30.360775"
6737,СБГ 25,,"191036, Санкт-Петербург, Гончарная ул., 25",+7 (812) 717-25-47,www.sbg25.ru,,,нет,"59.928131,30.368222"
6743,СМАЙЛИ,,"191119, Санкт-Петербург, Лиговский пр., 106а",+7 (812) 326-96-44; +7 (812) 764-75-66,,,,нет,"59.919382,30.353912"
6744,"СОВЕТСКОЕ КАФЕ ""КВАРТИРКА""",,"191025, Санкт-Петербург, Невский пр., 51",+7 (812) 315-55-61,https://vk.com/pososedski,,,нет,"59.932148,30.349187"
6745,СТАРЫЙ ГОРОД,,"191024, Санкт-Петербург, Перекупной пер., 12",+7 (812) 716-39-36,,,,нет,"59.928879,30.378023"
6747,СТАРЫЙ ГОРОД,,"191002, Санкт-Петербург, ул. Достоевского д. 26",+7 (812) 572-19-60; +7 (911) 799-18-79,www.stari-gorod-svet.ru,,,нет,"59.938193,30.359167"
6748,"СТЕНДАЛЬ, арт-кафе",,"191011, Санкт-Петербург, Караванная ул., 12, 1 этаж",+7 (911) 123-24-04,www.vk.com/artcafestendal,,,нет,"59.936142,30.342198"
6749,СУНДУК,,"191123, Санкт-Петербург, Фурштатская ул., 4",+7 (812) 272-31-00,www.cafesunduk.ru,admin@cafesunduk.ru,,нет,"59.945432,30.362006"
6750,СУХУМИ,,"191025, Санкт-Петербург, Невский пр., 92",+7 (812) 579-43-52,,,,нет,"59.932924,30.353031"
6753,СЫТЫЙ ГНОМ,,"191024, Санкт-Петербург, Полтавская ул., 5, 1 этаж",+7 (812) 717-16-17; +7 (921) 357-52-38,www.sytyi-gnom.com,sytyignjm@mail.ru,,нет,"59.927437,30.369659"
6763,У СМОЛЬНОГО,,"191167, Санкт-Петербург, Невский пр. д. 176",+7 (812) 274-14-16; +7 (905) 217-99-31,tort-na-zakaz.ru,tarpanneva@bk.ru,,нет,"59.943895,30.392315"
6932,"Евро-столовая, ст. м. Гостиный Двор",Evro-stolovaya,"Санкт-Петербург, Садовая., д.25( угол Банковского пер. и Садовой ул.)",+7(812)310-94-84,http://evro-stolovaya.ru,ionova.09@mail.ru,,нет,"59.929786,30.324761"
6933,"Евро-столовая, ст. м. Лиговский проспект",Evro-stolovaya,"Санкт-Петербург, Лиговский пр., д.69 (угол Кузнечного пер. и Лиговского пр.)",+7(900)626-69-53,http://evro-stolovaya.ru,ionova.09@mail.ru,,нет,"59.9263,30.35764"
6934,"Евро-столовая, ст. м. Площадь Восстания",Evro-stolovaya,"Санкт-Петербург, Невский пр., д.109",+7(812)310-42-37,http://evro-stolovaya.ru,ionova.09@mail.ru,,нет,"59.928672,30.369803"
6935,"Евро-столовая, ст. м. Невский прспект",Evro-Stolovaya,"Санкт-Петербург, Канал Грибоедова., д.22",+7(812)315-68-95,http://evro-stolovaya.ru/,ionova.09@mail.ru,,нет,"59.933379,30.327402"
6936,"""Столовая № 1"", ст. м. Владимирская","""Stolovaya № 1"", metro station Vladimirskaya","Санкт-Петербург, Владимирский пр., 23 А",+7 (906) 229 42 39,http://st1.one/,lackontine@yandex.ru,,нет,"59.929164,30.323162"
6937,"""Столовая № 1"", ст. м. Площадь Восстания","""Stolovaya № 1"", metro station Plosсhad Vosstaniya","Санкт-Петербург, Лиговский пр., 43/45 А",+7 (967) 550 30 68,http://st1.one/,lackontine@yandex.ru,,нет,"59.93594,30.327295"
6938,"""Столовая № 1"", ст. м. Нарвская","""Stolovaya № 1"" metro station Narvskaya","Санкт-Петербург, Старо-Петергофский проспект 43-45",+7 (967) 571 24 09,http://st1.one/,,,нет,"59.90205,30.274977"
6939,"""Столовая № 1"", ст. м. Площадь Восстания","""Stolovaya № 1"", metro station Plosсhad Vosstaniya","Санкт-Петербург, Лиговский пр., 10",+7 (967) 571 24 10,http://st1.one/,lackontine@yandex.ru,,нет,"59.934236,30.336979"
6940,"""Столовая № 1"", ст. м. Невский проспект","""Stolovaya № 1"", metro station Nevsky Prospect","Санкт-Петербург, пр.Невский,25",+7 (967) 571 24 05,http://st1.one/,lackontine@yandex.ru,,нет,"59.935394,30.323118"
